experiment,relative_path,disposition,referenced,has_checkpoint,has_structured_result,file_count,size_bytes,reason,quarantine_path,status
pi_jwm_v11_branch_support_value_focus_512_20260628,代码\artifacts\experiments\pi_jwm_v11_branch_support_value_focus_512_20260628,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_branch_support_value_focus_512_20260628,verified_empty_directory
pi_jwm_v11_bridge_calibration_sweep_dryrun_20260620,代码\artifacts\experiments\pi_jwm_v11_bridge_calibration_sweep_dryrun_20260620,quarantine,false,false,false,1,1768,unreferenced transient/failed run without checkpoint or structured result,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_bridge_calibration_sweep_dryrun_20260620,verified
pi_jwm_v11_gpu_candidate_batch_gpu_pilot_20260627_162338_clean,代码\artifacts\experiments\pi_jwm_v11_gpu_candidate_batch_gpu_pilot_20260627_162338_clean,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_gpu_candidate_batch_gpu_pilot_20260627_162338_clean,verified_empty_directory
pi_jwm_v11_graph_support_active_new_split_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_active_new_split_384_20260628,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_graph_support_active_new_split_384_20260628,verified_empty_directory
pi_jwm_v11_graph_support_conservative_new_cpu256_20260629,代码\artifacts\experiments\pi_jwm_v11_graph_support_conservative_new_cpu256_20260629,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_graph_support_conservative_new_cpu256_20260629,verified_empty_directory
pi_jwm_v11_graph_support_pred_value_ops_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_pred_value_ops_256_20260628,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_graph_support_pred_value_ops_256_20260628,verified_empty_directory
pi_jwm_v11_graph_support_rank_diagnostics_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_rank_diagnostics_128_20260628,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_graph_support_rank_diagnostics_128_20260628,verified_empty_directory
pi_jwm_v11_retrieval_action_generator_256_20260628,代码\artifacts\experiments\pi_jwm_v11_retrieval_action_generator_256_20260628,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_retrieval_action_generator_256_20260628,verified_empty_directory
pi_jwm_v11_rollout_template_selector_wide_256_20260628,代码\artifacts\experiments\pi_jwm_v11_rollout_template_selector_wide_256_20260628,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_rollout_template_selector_wide_256_20260628,verified_empty_directory
pi_jwm_v11_scheduler_ranked_allocation_linkaware_512_20260622,代码\artifacts\experiments\pi_jwm_v11_scheduler_ranked_allocation_linkaware_512_20260622,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_scheduler_ranked_allocation_linkaware_512_20260622,verified_empty_directory
pi_jwm_v11_xgb_value_ranked_allocation_256_20260628,代码\artifacts\experiments\pi_jwm_v11_xgb_value_ranked_allocation_256_20260628,quarantine,false,false,false,0,0,empty and unreferenced experiment directory,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v11_xgb_value_ranked_allocation_256_20260628,verified_empty_directory
pi_jwm_v7_cross_attention_aux_soft_zero_rf_teacher_w03_active_mixed_200,代码\artifacts\experiments\pi_jwm_v7_cross_attention_aux_soft_zero_rf_teacher_w03_active_mixed_200,quarantine,false,false,false,1,1248,unreferenced transient/failed run without checkpoint or structured result,D:\shen\网络组_隔离备份\2026-07-11_PI-JWM治理\experiment_cleanup\代码\artifacts\experiments\pi_jwm_v7_cross_attention_aux_soft_zero_rf_teacher_w03_active_mixed_200,verified
