tx_id,rx_id,link_type,edge_index
UAV_0,RSU_0,U2I,0
UAV_0,RSU_1,U2I,1
UAV_0,RSU_2,U2I,2
UAV_0,RSU_3,U2I,3
UAV_1,RSU_0,U2I,4
UAV_1,RSU_1,U2I,5
UAV_1,RSU_2,U2I,6
UAV_1,RSU_3,U2I,7
vehicle_0,RSU_0,V2I,8
vehicle_0,RSU_1,V2I,9
vehicle_0,RSU_2,V2I,10
vehicle_0,RSU_3,V2I,11
vehicle_1,RSU_0,V2I,12
vehicle_1,RSU_1,V2I,13
vehicle_1,RSU_2,V2I,14
vehicle_1,RSU_3,V2I,15
vehicle_10,RSU_0,V2I,16
vehicle_10,RSU_1,V2I,17
vehicle_10,RSU_2,V2I,18
vehicle_10,RSU_3,V2I,19
vehicle_11,RSU_0,V2I,20
vehicle_11,RSU_1,V2I,21
vehicle_11,RSU_2,V2I,22
vehicle_11,RSU_3,V2I,23
vehicle_12,RSU_0,V2I,24
vehicle_12,RSU_1,V2I,25
vehicle_12,RSU_2,V2I,26
vehicle_12,RSU_3,V2I,27
vehicle_13,RSU_0,V2I,28
vehicle_13,RSU_1,V2I,29
vehicle_13,RSU_2,V2I,30
vehicle_13,RSU_3,V2I,31
vehicle_14,RSU_0,V2I,32
vehicle_14,RSU_1,V2I,33
vehicle_14,RSU_2,V2I,34
vehicle_14,RSU_3,V2I,35
vehicle_15,RSU_0,V2I,36
vehicle_15,RSU_1,V2I,37
vehicle_15,RSU_2,V2I,38
vehicle_15,RSU_3,V2I,39
vehicle_16,RSU_0,V2I,40
vehicle_16,RSU_1,V2I,41
vehicle_16,RSU_2,V2I,42
vehicle_16,RSU_3,V2I,43
vehicle_17,RSU_0,V2I,44
vehicle_17,RSU_1,V2I,45
vehicle_17,RSU_2,V2I,46
vehicle_17,RSU_3,V2I,47
vehicle_18,RSU_0,V2I,48
vehicle_18,RSU_1,V2I,49
vehicle_18,RSU_2,V2I,50
vehicle_18,RSU_3,V2I,51
vehicle_19,RSU_0,V2I,52
vehicle_19,RSU_1,V2I,53
vehicle_19,RSU_2,V2I,54
vehicle_19,RSU_3,V2I,55
vehicle_2,RSU_0,V2I,56
vehicle_2,RSU_1,V2I,57
vehicle_2,RSU_2,V2I,58
