node_id,node_type,node_index
cloudServer_4,cloud,0
RSU_0,rsu,1
RSU_1,rsu,2
RSU_2,rsu,3
RSU_3,rsu,4
UAV_0,uav,5
UAV_1,uav,6
vehicle_0,vehicle,7
vehicle_1,vehicle,8
vehicle_10,vehicle,9
vehicle_11,vehicle,10
vehicle_12,vehicle,11
vehicle_13,vehicle,12
vehicle_14,vehicle,13
vehicle_15,vehicle,14
vehicle_16,vehicle,15
vehicle_17,vehicle,16
vehicle_18,vehicle,17
vehicle_19,vehicle,18
vehicle_2,vehicle,19
vehicle_20,vehicle,20
vehicle_21,vehicle,21
vehicle_22,vehicle,22
vehicle_23,vehicle,23
vehicle_24,vehicle,24
vehicle_25,vehicle,25
vehicle_26,vehicle,26
vehicle_27,vehicle,27
vehicle_28,vehicle,28
vehicle_29,vehicle,29
vehicle_3,vehicle,30
vehicle_4,vehicle,31
vehicle_5,vehicle,32
vehicle_6,vehicle,33
vehicle_7,vehicle,34
vehicle_8,vehicle,35
vehicle_9,vehicle,36
