seed,time,task_id,task_node_id,assigned_to,assigned_node_type,allocated_cpu,num_tasks_on_node
2,0.8,Task_1,UAV_0,RSU_3,rsu,10.0,1
2,1.1,Task_2,UAV_0,RSU_3,rsu,10.0,1
2,1.4,Task_3,UAV_0,RSU_3,rsu,5.0,2
2,1.4,Task_4,UAV_0,RSU_3,rsu,5.0,2
2,1.5,Task_3,UAV_0,RSU_3,rsu,10.0,1
2,3.3,Task_5,UAV_0,RSU_3,rsu,10.0,1
2,3.7,Task_6,UAV_1,RSU_2,rsu,10.0,1
2,4.4,Task_19,UAV_1,RSU_2,rsu,5.0,2
2,4.4,Task_28,vehicle_4,RSU_2,rsu,5.0,2
2,4.5,Task_28,vehicle_4,RSU_2,rsu,10.0,1
2,4.6,Task_21,vehicle_0,RSU_3,rsu,10.0,1
2,4.9,Task_29,vehicle_4,RSU_2,rsu,10.0,1
2,5.2,Task_22,vehicle_0,RSU_3,rsu,10.0,1
2,5.4,Task_14,UAV_0,RSU_3,rsu,10.0,1
2,5.5,Task_25,vehicle_3,RSU_3,rsu,10.0,1
2,6.1,Task_26,vehicle_3,RSU_3,rsu,10.0,1
2,6.5,Task_15,UAV_0,RSU_3,rsu,10.0,1
2,7.3,Task_30,vehicle_4,RSU_2,rsu,10.0,1
2,7.7,Task_16,UAV_0,RSU_3,rsu,10.0,1
2,8.0,Task_17,UAV_0,RSU_3,rsu,10.0,1
2,8.2,Task_18,UAV_0,RSU_3,rsu,3.3333333333333335,3
2,8.2,Task_23,vehicle_0,RSU_3,rsu,3.3333333333333335,3
2,8.2,Task_27,vehicle_3,RSU_3,rsu,3.3333333333333335,3
2,8.2,Task_20,UAV_1,RSU_2,rsu,5.0,2
2,8.2,Task_31,vehicle_4,RSU_2,rsu,5.0,2
2,8.2,Task_24,vehicle_2,RSU_1,rsu,10.0,1
2,8.3,Task_18,UAV_0,RSU_3,rsu,3.3333333333333335,3
2,8.3,Task_23,vehicle_0,RSU_3,rsu,3.3333333333333335,3
2,8.3,Task_27,vehicle_3,RSU_3,rsu,3.3333333333333335,3
2,8.3,Task_20,UAV_1,RSU_2,rsu,10.0,1
2,8.3,Task_41,vehicle_2,RSU_1,rsu,5.0,2
2,8.3,Task_42,vehicle_2,RSU_1,rsu,5.0,2
2,8.4,Task_12,UAV_1,UAV_1,uav,3.0,1
2,8.5,Task_49,vehicle_5,RSU_2,rsu,10.0,1
2,8.8,Task_43,vehicle_2,RSU_1,rsu,10.0,1
2,9.2,Task_33,UAV_0,vehicle_3,vehicle,2.0,1
2,9.3,Task_33,UAV_0,vehicle_3,vehicle,2.0,1
2,9.4,Task_35,UAV_1,RSU_2,rsu,2.0,1
2,9.4,Task_33,UAV_0,vehicle_3,vehicle,2.0,1
2,9.5,Task_35,UAV_1,RSU_2,rsu,2.0,1
2,9.5,Task_33,UAV_0,vehicle_3,vehicle,2.0,1
2,9.7,Task_36,UAV_1,RSU_2,rsu,10.0,1
2,10.3,Task_38,vehicle_0,RSU_3,rsu,3.0,1
2,10.3,Task_9,UAV_0,UAV_0,uav,3.0,1
2,10.4,Task_38,vehicle_0,RSU_3,rsu,10.0,1
2,10.5,Task_46,vehicle_3,vehicle_8,vehicle,2.0,1
2,10.6,Task_46,vehicle_3,vehicle_8,vehicle,2.0,1
2,11.1,Task_50,vehicle_5,RSU_2,rsu,10.0,1
2,11.1,Task_44,vehicle_2,RSU_1,rsu,10.0,1
2,11.4,Task_39,vehicle_0,RSU_3,rsu,10.0,1
2,12.2,Task_40,vehicle_0,RSU_3,rsu,2.0,1
2,12.2,Task_37,UAV_1,RSU_2,rsu,0.6666666666666666,3
2,12.2,Task_48,vehicle_4,RSU_2,rsu,0.6666666666666666,3
2,12.2,Task_51,vehicle_5,RSU_2,rsu,0.6666666666666666,3
2,12.2,Task_47,vehicle_3,vehicle_8,vehicle,2.0,1
2,12.2,Task_34,UAV_0,vehicle_12,vehicle,2.0,1
2,12.2,Task_45,vehicle_2,vehicle_6,vehicle,2.0,1
2,12.3,Task_40,vehicle_0,RSU_3,rsu,2.0,1
2,12.3,Task_37,UAV_1,RSU_2,rsu,0.6666666666666666,3
2,12.3,Task_48,vehicle_4,RSU_2,rsu,0.6666666666666666,3
2,12.3,Task_51,vehicle_5,RSU_2,rsu,0.6666666666666666,3
2,12.3,Task_47,vehicle_3,vehicle_8,vehicle,2.0,1
2,12.3,Task_34,UAV_0,vehicle_12,vehicle,2.0,1
2,12.3,Task_45,vehicle_2,vehicle_6,vehicle,2.0,1
2,12.4,Task_37,UAV_1,RSU_2,rsu,0.6666666666666666,3
2,12.4,Task_48,vehicle_4,RSU_2,rsu,0.6666666666666666,3
2,12.4,Task_51,vehicle_5,RSU_2,rsu,0.6666666666666666,3
2,12.4,Task_47,vehicle_3,vehicle_8,vehicle,2.0,1
2,12.4,Task_45,vehicle_2,vehicle_6,vehicle,2.0,1
2,12.5,Task_37,UAV_1,RSU_2,rsu,0.6666666666666666,3
2,12.5,Task_48,vehicle_4,RSU_2,rsu,0.6666666666666666,3
2,12.5,Task_51,vehicle_5,RSU_2,rsu,0.6666666666666666,3
2,12.5,Task_80,vehicle_8,vehicle_12,vehicle,2.0,1
2,12.6,Task_58,vehicle_0,RSU_3,rsu,2.0,1
2,12.6,Task_48,vehicle_4,RSU_2,rsu,0.6666666666666666,3
2,12.6,Task_51,vehicle_5,RSU_2,rsu,0.6666666666666666,3
2,12.6,Task_56,UAV_1,RSU_2,rsu,0.6666666666666666,3
2,12.6,Task_80,vehicle_8,vehicle_12,vehicle,2.0,1
2,12.7,Task_58,vehicle_0,RSU_3,rsu,2.0,1
2,12.7,Task_48,vehicle_4,RSU_2,rsu,0.6666666666666666,3
2,12.7,Task_51,vehicle_5,RSU_2,rsu,0.6666666666666666,3
2,12.7,Task_56,UAV_1,RSU_2,rsu,0.6666666666666666,3
2,12.7,Task_80,vehicle_8,vehicle_12,vehicle,2.0,1
2,12.8,Task_58,vehicle_0,RSU_3,rsu,10.0,1
2,12.8,Task_48,vehicle_4,RSU_2,rsu,3.3333333333333335,3
2,12.8,Task_51,vehicle_5,RSU_2,rsu,3.3333333333333335,3
2,12.8,Task_56,UAV_1,RSU_2,rsu,3.3333333333333335,3
2,12.9,Task_56,UAV_1,RSU_2,rsu,5.0,2
2,12.9,Task_65,vehicle_4,RSU_2,rsu,5.0,2
2,13.2,Task_68,vehicle_5,RSU_2,rsu,10.0,1
2,13.4,Task_52,UAV_0,vehicle_12,vehicle,2.0,1
2,13.5,Task_52,UAV_0,vehicle_12,vehicle,2.0,1
2,13.6,Task_59,vehicle_0,RSU_3,rsu,2.0,1
2,13.6,Task_52,UAV_0,vehicle_12,vehicle,2.0,1
2,13.6,Task_72,vehicle_6,vehicle_2,vehicle,2.0,1
2,13.7,Task_59,vehicle_0,RSU_3,rsu,2.0,1
2,13.7,Task_81,vehicle_8,vehicle_12,vehicle,2.0,1
2,13.7,Task_72,vehicle_6,vehicle_2,vehicle,2.0,1
2,13.8,Task_59,vehicle_0,RSU_3,rsu,2.0,1
2,13.8,Task_81,vehicle_8,vehicle_12,vehicle,2.0,1
2,13.9,Task_59,vehicle_0,RSU_3,rsu,2.0,1
2,13.9,Task_81,vehicle_8,vehicle_12,vehicle,2.0,1
2,13.9,Task_73,vehicle_6,vehicle_2,vehicle,2.0,1
2,14.0,Task_78,vehicle_7,RSU_1,rsu,2.0,1
2,14.0,Task_82,vehicle_8,vehicle_12,vehicle,2.0,1
2,14.0,Task_73,vehicle_6,vehicle_2,vehicle,2.0,1
2,14.1,Task_78,vehicle_7,RSU_1,rsu,2.0,1
2,14.1,Task_63,vehicle_3,vehicle_8,vehicle,2.0,1
2,14.1,Task_82,vehicle_8,vehicle_12,vehicle,2.0,1
2,14.2,Task_63,vehicle_3,vehicle_8,vehicle,2.0,1
2,14.2,Task_82,vehicle_8,vehicle_12,vehicle,2.0,1
2,14.3,Task_69,vehicle_5,RSU_2,rsu,2.0,1
2,14.3,Task_63,vehicle_3,vehicle_8,vehicle,2.0,1
2,14.4,Task_69,vehicle_5,RSU_2,rsu,10.0,1
2,14.5,Task_86,vehicle_10,vehicle_7,vehicle,2.0,1
2,14.6,Task_70,vehicle_5,RSU_2,rsu,2.0,1
2,14.6,Task_86,vehicle_10,vehicle_7,vehicle,2.0,1
2,14.7,Task_70,vehicle_5,RSU_2,rsu,10.0,1
2,14.8,Task_74,vehicle_6,vehicle_2,vehicle,2.0,1
2,14.9,Task_74,vehicle_6,vehicle_2,vehicle,2.0,1
2,15.0,Task_75,vehicle_6,vehicle_2,vehicle,2.0,1
2,15.1,Task_75,vehicle_6,vehicle_2,vehicle,2.0,1
2,15.2,Task_53,UAV_0,vehicle_12,vehicle,2.0,1
2,15.2,Task_75,vehicle_6,vehicle_2,vehicle,2.0,1
2,15.3,Task_53,UAV_0,vehicle_12,vehicle,2.0,1
2,15.3,Task_75,vehicle_6,vehicle_2,vehicle,2.0,1
2,15.5,Task_76,vehicle_6,vehicle_2,vehicle,2.0,1
2,15.6,Task_76,vehicle_6,vehicle_2,vehicle,2.0,1
2,15.7,Task_87,vehicle_10,vehicle_7,vehicle,2.0,1
