seed,time,task_id,task_node_id,current_node_id,assigned_to,rb_count,rb_indices
3,3.7,Task_1,UAV_1,UAV_1,vehicle_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,4.5,Task_10,vehicle_1,vehicle_1,UAV_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,4.6,Task_8,UAV_1,UAV_1,vehicle_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,5.1,Task_14,vehicle_2,vehicle_2,RSU_3,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,6.3,Task_11,vehicle_1,vehicle_1,UAV_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,7.7,Task_12,vehicle_1,vehicle_1,UAV_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,8.2,Task_9,UAV_1,UAV_1,vehicle_1,16,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
3,8.2,Task_13,vehicle_1,vehicle_1,UAV_1,16,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
3,8.2,Task_15,vehicle_2,vehicle_2,RSU_3,16,32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
3,9.8,Task_19,vehicle_1,vehicle_1,UAV_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,11.4,Task_17,UAV_1,UAV_1,RSU_3,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,11.5,Task_20,vehicle_1,vehicle_1,RSU_3,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,11.9,Task_22,vehicle_2,vehicle_2,RSU_3,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,12.0,Task_23,vehicle_2,vehicle_2,RSU_3,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,12.2,Task_18,UAV_1,UAV_1,RSU_3,16,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
3,12.2,Task_21,vehicle_1,vehicle_1,RSU_3,16,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
3,12.2,Task_24,vehicle_2,vehicle_2,RSU_3,16,32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
3,12.5,Task_33,vehicle_2,vehicle_2,RSU_3,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,12.6,Task_31,vehicle_1,vehicle_1,RSU_3,16,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
3,12.6,Task_34,vehicle_2,vehicle_2,RSU_3,16,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
3,12.6,Task_47,vehicle_7,vehicle_7,UAV_0,16,32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
3,13.4,Task_35,vehicle_2,vehicle_2,RSU_3,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,14.1,Task_41,vehicle_6,vehicle_6,RSU_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,14.5,Task_42,vehicle_6,vehicle_6,RSU_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,14.8,Task_43,vehicle_6,vehicle_6,RSU_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,15.1,Task_29,UAV_1,UAV_1,RSU_3,25,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
3,15.1,Task_48,vehicle_7,vehicle_7,vehicle_9,25,25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,15.6,Task_44,vehicle_6,vehicle_6,RSU_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,16.0,Task_45,vehicle_6,vehicle_6,RSU_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,16.2,Task_30,UAV_1,UAV_1,RSU_3,10,0 1 2 3 4 5 6 7 8 9
3,16.2,Task_32,vehicle_1,vehicle_1,RSU_3,10,10 11 12 13 14 15 16 17 18 19
3,16.2,Task_36,vehicle_2,vehicle_2,RSU_3,10,20 21 22 23 24 25 26 27 28 29
3,16.2,Task_49,vehicle_7,vehicle_7,vehicle_11,10,30 31 32 33 34 35 36 37 38 39
3,16.2,Task_46,vehicle_6,vehicle_6,RSU_1,10,40 41 42 43 44 45 46 47 48 49
3,16.3,Task_60,vehicle_10,vehicle_10,vehicle_8,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,16.5,Task_54,vehicle_6,vehicle_6,RSU_1,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
3,16.8,Task_58,vehicle_9,vehicle_9,RSU_2,50,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
