seed,time,task_id,task_node_id,source_node_id,target_node_id,target_node_type,candidate_count,nearest_distance
4,2.4,Task_1,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,3.7,Task_2,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,3.7,Task_3,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,4.5,Task_19,vehicle_3,vehicle_3,RSU_0,rsu,5,0.0
4,5.1,Task_20,vehicle_3,vehicle_3,RSU_0,rsu,5,0.0
4,5.3,Task_21,vehicle_3,vehicle_3,RSU_0,rsu,5,0.0
4,6.6,Task_17,vehicle_1,vehicle_1,UAV_0,uav,7,0.0
4,6.8,Task_14,vehicle_0,vehicle_0,vehicle_5,vehicle,6,0.0
4,7.0,Task_15,vehicle_0,vehicle_0,vehicle_5,vehicle,6,0.0
4,7.4,Task_11,UAV_0,UAV_0,UAV_1,uav,6,0.0
4,7.8,Task_22,vehicle_3,vehicle_3,RSU_0,rsu,5,0.0
4,8.2,Task_13,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,8.2,Task_23,vehicle_3,vehicle_3,RSU_0,rsu,5,0.0
4,8.2,Task_18,vehicle_1,vehicle_1,UAV_0,uav,6,0.0
4,8.2,Task_16,vehicle_0,vehicle_0,vehicle_5,vehicle,6,0.0
4,8.2,Task_12,UAV_0,UAV_0,UAV_1,uav,6,0.0
4,8.3,Task_36,vehicle_1,vehicle_1,UAV_0,uav,6,0.0
4,8.3,Task_37,vehicle_1,vehicle_1,UAV_0,uav,6,0.0
4,8.3,Task_43,vehicle_4,vehicle_4,vehicle_2,vehicle,7,0.0
4,8.5,Task_34,vehicle_0,vehicle_0,vehicle_5,vehicle,6,0.0
4,8.7,Task_25,UAV_0,UAV_0,UAV_1,uav,6,0.0
4,9.2,Task_28,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,10.0,Task_40,vehicle_3,vehicle_3,RSU_0,rsu,5,0.0
4,10.1,Task_41,vehicle_3,vehicle_3,RSU_0,rsu,5,0.0
4,10.3,Task_47,vehicle_5,vehicle_5,vehicle_0,vehicle,5,0.0
4,10.6,Task_29,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,10.6,Task_44,vehicle_4,vehicle_4,vehicle_2,vehicle,7,0.0
4,10.8,Task_26,UAV_0,UAV_0,UAV_1,uav,6,0.0
4,11.0,Task_30,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,11.1,Task_31,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,11.2,Task_45,vehicle_4,vehicle_4,vehicle_2,vehicle,6,0.0
4,11.4,Task_32,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,11.8,Task_38,vehicle_1,vehicle_1,UAV_0,uav,9,0.0
4,12.2,Task_33,UAV_1,UAV_1,UAV_0,uav,5,0.0
4,12.2,Task_42,vehicle_3,vehicle_3,RSU_0,rsu,5,0.0
